ID,Simulation,Status,infall_mass,time_infall,infall_mass_ratio,infall_ID,time_quench,max_sSFR,time_max_sSFR,time_disruption,infall_relative_velocity,infall_radial_velocity,infall_tangential_velocity,max_stellarmass,time_max_stellarmass,time_closest_approch,distance_closest_approach_hostRvir,distance_closest_approach_pkpc,infall_x,infall_y,infall_z,infall_distance,infall_phi_z,infall_z_away,final_x,final_y,final_z,final_distance,final_phi_z,final_z_away,infall_n_dm,infall_n_star,infall_n_gas,final_n_dm,final_n_star,final_n_gas,impact_parameter_kpc,impact_parameter_hostRvir,time_impact,infall_vTheta,infall_vPhi,infall_vRadial,infall_vRelative,infall_Theta,infall_Phi,infall_virial_mass
148409610,h148,Survivor,23347855.507487,8.198,0.000431012955948,148243210,-1.0,,,-1.0,236.949763663102,-49.3221519959058,231.759607832109,74776108.9763004,9.06001331253359,13.3698171166727,0.47163958796123795,124.792961820674,76.5124201231411,132.28987676608298,-70.2890244609061,168.212094950248,2.0018843323522497,152.822648609051,20.9765329055845,125.426582330547,-47.773368750018605,135.846005644574,1.93015396209122,127.16855935277599,504066,9808,71063,240591,26111,46997,166.424348383775,0.778184126509226,9.06,25.341153151724896,158.582336986946,49.3221519959058,236.949763663102,2.0018843323522497,1.04643352072697,10690220624.038225
14840961090,h148,Survivor,2256.3288841467997,6.474,6.05090552218598e-08,1481920930,0.642,,,-1.0,269.972250981467,-117.63873492775,242.994124094799,2796.66808614233,0.6424277573762359,12.5078563558472,0.26078044407246104,66.5697414286701,65.7848923434849,57.85270257678351,-14.590756635896499,88.8114713046103,1.7358336015584401,87.6047216540391,106.466290661796,100.093621129399,-9.75235970114227,146.454472645318,1.63743533920845,146.129408532566,1927,1,0,1022,1,0,88.38698121263809,0.5348489925584791,6.905,13.194239302037401,202.87276563238098,117.63873492775,269.972250981467,1.7358336015584401,0.7213291934157421,37512818.00479018
14840961101,h148,Survivor,47429.653918401906,8.609,8.192134769646401e-07,1482554630,4.282,,,-1.0,198.40057736811198,-182.710404026931,77.32850289715729,48389.3367859404,6.90511141046993,9.06001331253359,0.200703486684159,42.922935397817795,71.0937040699537,43.308510609334895,-122.016207394343,147.70882409823798,2.5428750405023197,83.2462722864214,47.995458053126605,-146.392204962514,164.635807047918,225.47547678147998,0.7522231493710491,154.05921480883998,2536,21,0,989,20,0,42.922935397817795,0.200703486684159,9.06,59.61773281141971,59.9536626534994,182.710404026931,198.40057736811198,2.5428750405023197,0.54713856026308,49412655.146213904
148409612,h148,Survivor,23347855.507487,8.198,0.000431012955948,148243210,9.491,,,-1.0,236.949763663102,-49.3221519959058,231.759607832109,74776108.9763004,9.06001331253359,9.06001331253359,0.778184126509226,166.424348383775,76.5124201231411,132.28987676608298,-70.2890244609061,168.212094950248,2.0018843323522497,152.822648609051,-52.3299403171586,-255.49526719971598,114.102767706438,284.667693659328,1.1583759363764299,260.799260380569,504066,9808,71063,212293,21027,342,166.424348383775,0.778184126509226,9.06,25.341153151724896,158.582336986946,49.3221519959058,236.949763663102,2.0018843323522497,1.04643352072697,10690220624.038225
14840961292,h148,Survivor,279924.332439997,3.888,2.84641040836859e-05,148115279,3.888,,,-1.0,199.79689512102001,-120.348841311824,159.48340256873502,284443.19788788,3.7333651733624897,8.19805255170897,0.24412700277884802,48.1098885634935,10.0611580499717,23.6674608807989,-76.9494033079609,81.13313919294559,2.819053729577,25.7172239141525,2.30396901648783,75.02488203506441,117.352543114484,139.304201562771,0.569038828445833,75.060250449917,34109,114,2140,761,89,0,53.680476938225006,0.472049813683619,4.282,68.2510023028881,115.17179619852,120.348841311824,199.79689512102001,2.819053729577,1.1688366718999599,690224845.5330594
148409613,h148,Survivor,5701916.34955817,13.800999999999998,6.4561352353036e-05,148409613,-1.0,,,-1.0,224.560078598134,-47.4442201388899,219.49094485972,5701916.34955817,13.8007974970854,13.8007974970854,1.0252856387489202,275.31806966159303,-178.58291509025398,-50.983121715995395,-203.24591808974898,275.31806966159303,2.4012274030331002,185.717894296809,-178.58291509025398,-50.983121715995395,-203.24591808974898,275.31806966159303,2.4012274030331002,185.717894296809,203901,2459,4193,203901,2459,4193,275.31806966159303,1.0252856387489202,-13.800999999999998,127.154522678956,187.79412324493902,47.4442201388899,224.560078598134,2.4012274030331002,0.278089623231153,4024440033.2442
1484096189,h148,Survivor,100251.314592883,5.867999999999999,3.13105208683891e-06,1481740150,2.595,,,-1.0,253.72035491856002,-201.673830666795,153.95351416639,113507.692371234,2.3697163133881,9.06001331253359,0.26905720809226696,57.5412283665778,-54.11682188325721,66.82858567805671,61.329772339988295,105.622115344034,0.95126610297497,85.9923849795641,-90.03422415991008,-55.1035375423598,173.550523584399,203.131350623626,0.546447729155917,105.55833159802799,14442,44,131,6607,44,0,72.050554605676,0.45766267445647796,6.474,116.51309986897101,244.301962672925,201.673830666795,253.72035491856002,0.95126610297497,-0.8901170126085509,282826219.3397921
14840962,h148,Survivor,923527877.789842,12.939,0.011033519553073,14838402,-1.0,,,-1.0,224.28313489872602,-86.1807640390287,207.06472541128102,1042070160.95477,13.8007974970854,13.8007974970854,0.7097140165748441,190.57820149864898,12.6737659616301,-76.71414833322709,-204.44747743997897,218.73375580763303,2.77817229890383,77.7540024573817,-3.3997410241790895,127.543414943422,-141.566839167928,190.57820149864898,2.40808112073882,127.58871789645599,2485724,384927,414848,2232416,435431,367099,190.57820149864898,0.7097140165748441,-13.800999999999998,117.65532863131,222.83452888141002,86.1807640390287,224.28313489872602,2.77817229890383,-1.40706754539798,53867614023.65077
1484096217,h148,Survivor,5952005.86908911,13.800999999999998,6.73930525394986e-05,1484096220,13.800999999999998,,,-1.0,211.676375866557,182.929113749565,106.50740557725901,5952005.86908911,13.8007974970854,13.8007974970854,0.48610928687097,130.534034075809,8.65951026498078,-125.190852510921,-35.9360178882416,130.534034075809,1.8496980602078799,125.48998633532699,8.65951026498078,-125.190852510921,-35.9360178882416,130.534034075809,1.8496980602078799,125.48998633532699,3142,2582,0,3142,2582,0,130.534034075809,0.48610928687097,-13.800999999999998,47.910532239777496,198.655486032163,182.929113749565,211.676375866557,1.8496980602078799,-1.5017358565492702,67113555.31011501
1484096223,h148,Survivor,977594.327314754,10.767000000000001,1.3321605023779801e-05,1483195110,10.767000000000001,,,-1.0,138.461236813774,9.31416192200939,138.147603988236,977594.327314754,10.7670996630761,12.5078563558472,0.36949109283414505,94.3204410808166,-169.83498738355,67.6778416151792,-53.9422312619245,190.614735786022,1.8577073547909497,182.82290115097697,-31.979053567276395,-169.565628394601,61.7503990753867,183.271039681353,1.22713684656005,172.55480926336003,16643,420,0,5096,418,0,190.614735786022,0.8121761503658649,10.767000000000001,68.85080757549309,116.173778401595,9.31416192200939,138.461236813774,1.8577073547909497,-0.37920548718318703,324946951.8206375
