IDs,Simulation,Status,infall_mass,time_infall,infall_mass_ratio,time_quench,max_sSFR,time_max_sSFR,time_disruption,infall_relative_velocity,infall_radial_velocity,infall_tangential_velocity,max_stellarmass,time_max_stellarmass,time_closest_approch,distance_closest_approach_hostRvir,distance_closest_approach_pkpc,infall_x,infall_y,infall_z,infall_distance,infall_phi_z,infall_z_away,final_x,final_y,final_z,final_distance,final_phi_z,final_z_away,infall_n_dm,infall_n_star,infall_n_gas,final_n_dm,final_n_star,final_n_gas
148409610,h148,Survivor,17699273.6976331,7.33609179088283,0.000405349321596,-1,1.1464211460263E-08,0.767008023598156,-1,-1,-147.400101118506,173.328110790645,74776108.9763004,9.06001331253359,13.4084760748066,0.471135331893179,124.740087533692,-122.880591249639,196.970556160351,-90.82385341599,249.291018789904,1.94370810140124,232.157359779911,20.9765329055845,125.426582330547,-47.7733687500186,135.846005644574,1.93015396209122,127.168559352776,390397,7512,43483,240591,26111,46997
14840961090,h148,Survivor,2256.4102074602,5.8680648701016,7.0472271785396E-08,0.642427757376236,1,0.642427757376236,-1,-1,-179.810588392931,144.798189221371,2796.66808614233,0.642427757376236,12.3485359539068,0.22045572509424,55.6586954617857,-11.6471748148379,148.567516435203,-95.6303356199824,177.068135788691,2.14132430717454,149.023366023224,106.466290661796,100.093621129399,-9.75235970114227,146.454472645318,1.63743533920845,146.129408532566,1940,1,0,1022,1,0
148409612,h148,Survivor,47961169.5408936,12.5078563558472,0.00059193452605,10.3529544537719,1.1464211460263E-08,0.767008023598156,-1,-1,-56.8747491323426,109.329772757164,74776108.9763004,9.06001331253359,8.91857535317047,0.760843961026305,160.738635697787,84.8354043897125,-329.467902517459,154.151688623693,373.508885748058,1.1453666023573,340.214850685886,-52.3299403171586,-255.495267199716,114.102767706438,284.667693659328,1.15837593637643,260.799260380569,213127,21015,655,212293,21027,342
148409613,h148,Survivor,5419765.11371959,12.5078563558472,6.68904892145301E-05,-1,4.23804511537867E-09,6.47413103005709,-1,-1,-103.690147813551,174.278007638382,5701916.34955817,13.8007974970854,13.8007974970854,1.02528563874892,275.318069661593,-237.744542011795,-282.800977031777,-49.6433358567629,372.777843576456,1.70436449475629,369.457521058274,-178.582915090254,-50.9831217159954,-203.245918089749,275.318069661593,2.4012274030331,185.717894296809,208077,2313,5651,203901,2459,4193
1484096189,h148,Survivor,101132.317154708,5.18118988881848,3.98532243376267E-06,2.59530760628031,4.5746955006949E-09,1.54479292893163,-1,-1,-123.01944160742,82.3455401743087,113507.692371234,2.3697163133881,6.21765085792672,0.147507774749319,22.4033611704266,-61.9184182578974,179.754175001146,32.3597098931787,192.853843037346,1.40220485341679,190.119578028941,-90.0342241599101,-55.1035375423598,173.550523584399,203.131350623626,0.546447729155917,105.558331598028,53543,44,1772,6607,44,0
14840962,h148,Survivor,724848246.212775,11.6458955950201,0.009323152288556,-1,6.08374571463539E-07,0.642427757376236,-1,-1,-115.58053639247,148.17487137578,1042070160.95477,13.8007974970854,13.7567895715346,0.709605415929198,189.397433720566,49.0756751388435,-340.349544551715,-116.393341087547,363.033943614664,1.89717273040448,343.869501943532,-3.39974102417909,127.543414943422,-141.566839167928,190.578201498649,2.40808112073882,127.588717896456,2721171,304685,494230,2232416,435431,367099
1484096217,h148,Survivor,5952005.86908911,13.8007974970854,6.73930525394986E-05,13.8007974970854,1,13.8007974970854,-1,-1,182.929113749565,106.507405577259,5952005.86908911,13.8007974970854,13.8007974970854,0.48610928687097,130.534034075809,8.65951026498078,-125.190852510921,-35.9360178882416,130.534034075809,1.84969806020788,125.489986335327,8.65951026498078,-125.190852510921,-35.9360178882416,130.534034075809,1.84969806020788,125.489986335327,3142,2582,0,3142,2582,0
1484096223,h148,Survivor,977594.327314754,10.7670996630761,1.33216050237798E-05,10.7670996630761,1,10.7670996630761,-1,-1,9.31416192200939,138.147603988236,977594.327314754,10.7670996630761,12.6948675174633,0.339707140489427,87.8039678376877,-169.83498738355,67.6778416151792,-53.9422312619245,190.614735786022,1.85770735479095,182.822901150977,-31.9790535672764,-169.565628394601,61.7503990753867,183.271039681353,1.22713684656005,172.55480926336,16643,420,0,5096,418,0
148409623,h148,Survivor,17967979.4789897,5.8680648701016,0.000561176478059,-1,3.14457330495874E-07,1.17778619870681,-1,-1,-171.930829629803,125.171694974574,52287298.7360205,7.03979277934896,11.4366214679577,0.483314490690956,85.937189965824,-59.0040078307793,162.482539136925,-119.649202718001,210.233156698772,2.17623912678808,172.864248659105,141.391541155546,-69.1743105803689,205.476282884407,258.838088353709,0.653697007647767,157.406013718059,204042,7323,54350,69956,20107,16220
1484096263,h148,Survivor,519483.838274293,13.8007974970854,5.88198371712924E-06,13.8007974970854,1,13.8007974970854,-1,-1,181.017627671462,137.107087607447,519483.838274293,13.8007974970854,13.8007974970854,0.458974584614955,123.24760231121,3.35517194492786,112.683615662943,-49.8108126595835,123.24760231121,1.98684830217002,112.733554976564,3.35517194492786,112.683615662943,-49.8108126595835,123.24760231121,1.98684830217002,112.733554976564,4497,230,0,4497,230,0
1484096290,h148,Survivor,2071054.04539504,4.75020950840088,9.97223074262369E-05,4.75020950840088,1,4.75020950840088,-1,-1,142.150464186337,214.231419104689,2071054.04539504,4.75020950840088,7.20204103710806,0.269396621278382,45.7991204616473,-59.0485359275463,31.9732663456707,-14.4278831614993,68.6817528061114,1.78244150383638,67.1492319836789,63.967107284323,-169.659353282106,8.1231645680964,181.499511770768,1.52602552363593,181.317641089957,32693,863,1460,3531,812,0
