ID,Simulation,Status,distance_closest_approach_hostRvir,distance_closest_approach_pkpc,final_distance,final_n_dm,final_n_gas,final_n_star,final_phi_z,final_x,final_y,final_z,final_z_away,impact_parameter_hostRvir,impact_parameter_kpc,infall_ID,infall_distance,infall_mass,infall_mass_ratio,infall_n_dm,infall_n_gas,infall_n_star,infall_phi_z,infall_radial_velocity,infall_relative_velocity,infall_tangential_velocity,infall_x,infall_y,infall_z,infall_z_away,max_sSFR,max_stellarmass,time_closest_approch,time_disruption,time_impact,time_infall,time_max_sSFR,time_max_stellarmass,time_quench
148115218,h148,Zombie,1.4164683310478166,144.98729984561922,144.98729984561922,349131.0,261492.0,27665.0,0.9708687304324645,109.41906108348849,-48.45786628755741,81.8573233314437,119.66910935381352,1.4164683310478166,144.98729984561922,,144.98729984561922,8740561.954719862,0.0011589508114228206,349131.0,261492.0,27665.0,0.9708687304324645,-163.6741223267552,208.99144001609253,129.95462162065024,109.41906108348849,-48.45786628755741,81.8573233314437,119.66910935381352,,8814295.092201818,3.887623672269709,3.887623672269709,-3.888,3.888,,3.7327303312245985,
148409621,h148,Survivor,0.5011247654813922,93.22058243134573,248.86068620254693,159101.0,45494.0,71117.0,0.6103670540597006,125.26206775098763,-68.22985525583863,203.9258256614812,142.6390506330076,0.5011247654813922,93.22058243134573,,101.52328562907893,13682918.557129359,0.0004372497341686897,393075.0,232280.0,45654.0,2.120734938698006,-139.45977057420458,280.98434280222807,243.93272287946576,54.78864138923018,67.00641703493056,-53.05961153068165,86.5543479505027,,20284202.98345502,6.904676575652035,-1,6.905,6.474,,13.80079749720876,
1484096278,h148,Survivor,0.164209336680441,53.79688001809201,307.000757652072,7790.0,0.0,228.0,1.249986594042535,160.6758154045565,243.02456133952364,96.80810982949333,291.337699363105,0.164209336680441,53.79688001809201,,253.63107489742268,65216.214639083475,8.538365304420351e-07,96634.0,0.0,231.0,1.7132002036982603,-213.3952542017514,218.5328741860135,47.1071394182442,80.77531937719323,-237.71485171082895,-35.99609991697798,251.06374279132578,,67751.1978565927,12.369717717880137,-1,12.37,11.646,,5.180646345294405,
148409622,h148,Survivor,0.7281349983767312,256.487906661871,256.487906661871,228854.0,9378.0,7767.0,2.60194448412462,-102.11388332476417,-83.31838710059674,-220.03828636644175,131.79225620918868,0.7281349983767312,256.487906661871,,324.03136479725674,2088247.1492361918,2.569953545007965e-05,252586.0,16519.0,7115.0,2.042973891526781,-69.90492101581076,195.5683752553055,182.64799866895135,-259.02036265913557,127.21820607357586,-147.37810266021188,288.5758483114083,,2256112.0219777394,13.80079749720876,-1,-13.801,12.37,,13.80079749720876,
148409632,h148,Survivor,0.15271854153383155,53.28168218978726,66.99517016138654,29745.0,0.0,118608.0,1.115546043102071,9.868385677109472,-59.35703867462507,29.456913430636632,60.17177973180714,0.827279517621808,123.72445811682516,,123.72445811682516,41962626.40571176,0.002413458840037418,177820.0,71872.0,137866.0,2.529813804844292,178.12898248089158,198.34986690189635,87.25099025410668,-69.09054034256042,-16.605308952564883,-101.28426573789693,71.05799779220563,,41962626.40571176,13.585293718849146,-1,5.181,5.181,,5.180646345294405,
148409633,h148,Survivor,0.2435831409221506,66.66565078511559,125.22370926964072,70639.0,1163.0,61325.0,2.93614752745771,8.46611218839098,24.102351387118688,-122.59028903332,25.546005518956648,0.5222206754092256,97.14490057695305,,113.67204408989902,16939171.795061786,0.0005413061791973735,366172.0,46914.0,57955.0,2.808513262779081,-87.8471255865443,218.15855266296577,199.68985108458048,15.898588824931721,33.593415319795895,-107.42462905732282,37.16561151753785,,17930977.37139305,10.029481368726781,-1,6.905,6.474,,10.029481368726781,
148409634,h148,Survivor,1.044124513386464,367.7962346678446,367.7962346678446,126946.0,0.0,119.0,0.7080664429165973,-235.9837290905598,-39.10746818500775,279.38567567525024,239.20224594122882,1.044124513386464,367.7962346678446,,367.7962346678446,33586.32512559255,3.7985805057140004e-07,126946.0,0.0,119.0,0.7080664429165973,-128.84990358567597,190.56942409526246,140.40800456513156,-235.9837290905598,-39.10746818500775,279.38567567525024,239.20224594122882,,35545.20043709616,13.80079749720876,-1,-13.801,13.801,,3.887623672269709,
148409635,h148,Survivor,0.47940295164829394,107.04004459236127,161.5964026146123,102212.0,2606.0,21631.0,0.4670731768640817,-42.79076351406184,58.8504536392029,144.28780961095617,72.76280186782483,0.47940295164829394,107.04004459236127,,172.99564311223455,5823467.595318865,0.00013687379441836608,335334.0,38051.0,19791.0,2.6679934855759218,-143.2713257147438,232.15904634538796,182.67772176141182,29.689979155658875,-73.10284753386077,-153.95444571688495,78.90197196409198,,6182571.016461452,8.089947358984185,-1,8.09,7.443,,9.059714363812617,
1484096803,h148,Survivor,0.20715950772235783,66.06323523245881,207.71393260454934,2705.0,0.0,11.0,0.44753795902091076,68.17290107866211,58.58535039761773,187.2572831036341,89.88763943219722,0.3278409457269358,76.39712138064358,,163.25059741137446,3105.405268519665,6.593365640845597e-08,7828.0,0.0,11.0,2.297825189943095,-255.38914364795346,302.9174232361024,162.89674830015792,-80.90691200040419,-91.2770815468466,-108.5049470301692,121.97308729859564,,3206.6866784156045,11.969015378943489,-1,8.413,7.767,,3.7327303312245985,
32924962,h329,Zombie,0.2691546209450263,46.45980375370199,46.45980375370199,1657912.0,1153538.0,1483183.0,0.7465066804228978,31.397583614983887,-3.096007780994114,34.10454286151071,31.549857702371348,0.2691546209450263,46.45980375370199,,155.81156902299952,411639636.98703635,0.02073588048940354,4007372.0,1526246.0,1389842.0,0.10886767231015954,-137.0856579592573,145.7682194444317,49.556999322774914,-7.802337882929351,15.024199887235227,154.88912803266066,16.929354940191743,,438587472.27042305,8.413203027704037,8.413203027704037,-8.413,7.767,,8.413203027704037,
148409639,h148,Survivor,0.15794312613820763,53.17536945964992,280.9732111515559,111575.0,0.0,648.0,1.2279675066508082,-48.89943735447741,260.0653945423692,94.44988603886304,264.62268310192655,0.15794312613820763,53.17536945964992,,268.6552650424555,168240.99306601894,2.1305601565383062e-06,186210.0,6599.0,540.0,1.4813863983627658,-229.87929516016644,244.93415727497057,84.547330275208,25.40881226417332,-266.37304222448074,23.98845702480685,267.58214694669203,,198306.22202970897,12.837764987732953,-1,12.838,11.969,,12.837764987732953,
