,ID,Simulation,Status,infall_mass,time_infall,infall_mass_ratio,infall_ID,time_quench,max_sSFR,time_max_sSFR,time_disruption,infall_relative_velocity,infall_radial_velocity,infall_tangential_velocity,max_stellarmass,time_max_stellarmass,time_closest_approch,distance_closest_approach_hostRvir,distance_closest_approach_pkpc,infall_x,infall_y,infall_z,infall_distance,infall_phi_z,infall_z_away,final_x,final_y,final_z,final_distance,final_phi_z,final_z_away,infall_n_dm,infall_n_star,infall_n_gas,final_n_dm,final_n_star,final_n_gas,impact_parameter_kpc,impact_parameter_hostRvir,time_impact
0,148409610,h148,Survivor,23347855.507486973,8.198,0.0004310129559477759,148243210,-1,1.1464211460262959e-08,0.7670080235981561,-1,236.94976366310223,-49.32215199590579,231.7596078321086,74776108.97630043,9.060013312533592,13.369817116672673,0.4716395879612383,124.7929618206738,76.51242012314106,132.28987676608267,-70.28902446090615,168.21209495024797,2.001884332352246,152.8226486090507,20.976532905584463,125.42658233054681,-47.77336875001856,135.84600564457446,1.9301539620912234,127.16855935277597,504066,9808,71063,240591,26111,46997,166.42434838377451,0.7781841265092259,9.06
0,14840961090,h148,Survivor,2256.328884146804,6.474,6.050905522185976e-08,1481920930,0.642,1.0,0.6424277573762364,-1,269.97225098146663,-117.63873492774988,242.99412409479908,2796.6680861423256,0.6424277573762364,12.50785635584716,0.260780444072461,66.56974142867007,65.7848923434849,57.852702576783486,-14.590756635896469,88.81147130461034,1.735833601558435,87.60472165403915,106.46629066179594,100.09362112939925,-9.752359701142268,146.45447264531802,1.6374353392084526,146.12940853256634,1927,1,0,1022,1,0,88.38698121263809,0.5348489925584786,6.905
0,148409612,h148,Survivor,23347855.507486973,8.198,0.0004310129559477759,148243210,9.491,1.1464211460262959e-08,0.7670080235981561,-1,236.94976366310223,-49.32215199590579,231.7596078321086,74776108.97630043,9.060013312533592,9.060013312533592,0.7781841265092259,166.42434838377451,76.51242012314106,132.28987676608267,-70.28902446090615,168.21209495024797,2.001884332352246,152.8226486090507,-52.329940317158616,-255.49526719971618,114.10276770643759,284.667693659328,1.1583759363764285,260.7992603805689,504066,9808,71063,212293,21027,342,166.42434838377451,0.7781841265092259,9.06
0,148409613,h148,Survivor,5701916.349558171,13.801,6.456135235303597e-05,148409613,-1,4.238045115378673e-09,6.47413103005709,-1,224.56007859813374,-47.444220138889875,219.4909448597198,5701916.349558171,13.800797497085432,13.800797497085432,1.0252856387489175,275.31806966159326,-178.58291509025366,-50.98312171599537,-203.24591808974947,275.31806966159326,2.4012274030330976,185.71789429680908,-178.58291509025366,-50.98312171599537,-203.24591808974947,275.31806966159326,2.4012274030330976,185.71789429680908,203901,2459,4193,203901,2459,4193,275.31806966159326,1.0252856387489175,-13.801
0,1484096189,h148,Survivor,100251.31459288306,5.868,3.1310520868389137e-06,1481740150,2.595,4.574695500694901e-09,1.5447929289316258,-1,253.72035491855988,-201.67383066679537,153.95351416638965,113507.69237123353,2.369716313388101,9.060013312533592,0.26905720809226746,57.541228366577805,-54.11682188325722,66.8285856780567,61.32977233998827,105.62211534403362,0.9512661029749699,85.99238497956405,-90.03422415991008,-55.103537542359845,173.55052358439934,203.13135062362568,0.5464477291559173,105.55833159802782,14442,44,131,6607,44,0,72.05055460567601,0.4576626744564781,6.474
0,14840962,h148,Survivor,923527877.7898424,12.939,0.011033519553072624,14838402,-1,6.08374571463539e-07,0.6424277573762364,-1,224.28313489872573,-86.1807640390287,207.06472541128116,1042070160.9547657,13.800797497085432,13.800797497085432,0.7097140165748436,190.5782014986487,12.673765961630124,-76.71414833322706,-204.44747743997868,218.73375580763278,2.7781722989038315,77.75400245738173,-3.399741024179093,127.54341494342225,-141.56683916792826,190.5782014986487,2.4080811207388177,127.58871789645622,2485724,384927,414848,2232416,435431,367099,190.5782014986487,0.7097140165748436,-13.801
0,1484096217,h148,Survivor,5952005.869089109,13.801,6.739305253949863e-05,1484096220,13.801,1.0,13.800797497085432,-1,211.67637586655718,182.92911374956515,106.50740557725855,5952005.869089109,13.800797497085432,13.800797497085432,0.48610928687096966,130.53403407580925,8.659510264980781,-125.1908525109211,-35.93601788824162,130.53403407580925,1.8496980602078845,125.48998633532675,8.659510264980781,-125.1908525109211,-35.93601788824162,130.53403407580925,1.8496980602078845,125.48998633532675,3142.0,2582.0,0.0,3142.0,2582.0,0.0,130.53403407580925,0.48610928687096966,-13.801
0,1484096223,h148,Survivor,977594.3273147542,10.767,1.3321605023779838e-05,1483195110,10.767,1.0,10.767099663076083,-1,138.46123681377398,9.314161922009394,138.1476039882364,977594.3273147542,10.767099663076083,12.50785635584716,0.36949109283414455,94.32044108081656,-169.83498738355047,67.6778416151792,-53.94223126192446,190.61473578602198,1.857707354790946,182.8229011509773,-31.979053567276424,-169.56562839460094,61.75039907538667,183.27103968135322,1.2271368465600492,172.5548092633602,16643.0,420.0,0.0,5096.0,418.0,0.0,190.61473578602198,0.8121761503658653,10.767
0,148409623,h148,Survivor,20315105.842546724,6.474,0.0005447999491126519,148192013,-1,3.1445733049587424e-07,1.1777861987068057,-1,266.34846911518,-147.5504888436635,221.74390688809456,52287298.73602051,7.039792779348961,6.9051114104699325,0.5422828382489002,89.61546848384688,47.797567639028784,83.89639770275608,-63.442085717599184,115.53402641605524,2.1521076713441167,96.55678650258893,141.3915411555463,-69.17431058036891,205.47628288440683,258.8380883537094,0.6536970076477668,157.40601371805937,215749.0,8322.0,67104.0,69956.0,20107.0,16220.0,89.61546848384688,0.5422828382489002,6.905
0,1484096263,h148,Survivor,519483.8382742928,13.801,5.881983717129243e-06,1484096260,13.801,1.0,13.800797497085432,-1,227.08089968114888,181.01762767146153,137.1070876074469,519483.8382742928,13.800797497085432,13.800797497085432,0.4589745846149554,123.24760231120962,3.3551719449278607,112.68361566294334,-49.81081265958346,123.24760231120962,1.9868483021700165,112.73355497656391,3.3551719449278607,112.68361566294334,-49.81081265958346,123.24760231120962,1.9868483021700165,112.73355497656391,4497.0,230.0,0.0,4497.0,230.0,0.0,123.24760231120962,0.4589745846149554,-13.801
