h148_s_rbins,h148_s_density,h148_s_mass,h148_d_rbins,h148_d_density,h148_d_mass,h148_g_rbins,h148_g_density,h148_g_mass,h229_s_rbins,h229_s_density,h229_s_mass,h229_d_rbins,h229_d_density,h229_d_mass,h229_g_rbins,h229_g_density,h229_g_mass,h242_s_rbins,h242_s_density,h242_s_mass,h242_d_rbins,h242_d_density,h242_d_mass,h242_g_rbins,h242_g_density,h242_g_mass,h329_s_rbins,h329_s_density,h329_s_mass,h329_d_rbins,h329_d_density,h329_d_mass,h329_g_rbins,h329_g_density,h329_g_mass
0.7500386445537119,4417076768.2982025,62449753850.159225,0.75995,627827399.2483737,9052599426.78792,0.75995,27617886.41844288,398220375.6319058,0.7500248340721114,2727861299.815676,38566136407.773384,0.75995,488466318.8380182,7043161740.331935,0.75995,17183232.541000806,247763830.0546507,0.7536747390724736,2259346712.765015,32174899260.335377,0.75995,430714217.0278039,6210438217.324114,0.75995,13294981.389223158,191699408.22481453,0.7506838609273301,3385279245.1016784,47923415229.938614,0.75995,513269710.4537655,7400800111.947957,0.75995,44481786.423343495,641379772.1484278
2.2500382561662375,256647838.94904083,25398739194.117455,2.25985,135504239.1473339,13522019465.530447,2.25985,6966948.882207388,695234473.7948183,2.2500245844834468,192509931.47759873,19051213326.36888,2.25985,146935075.9489669,14662707009.415487,2.25985,3894743.88435008,388657970.7677998,2.253637807021494,177701367.51936543,17639769622.571854,2.25985,114050979.87298751,11381190578.314848,2.25985,2944241.9458313114,293807021.48716176,2.2506769879531863,170833437.2839347,16915434155.355629,2.25985,109972269.74011186,10974174545.768194,2.25985,6830870.842340246,681655194.5376282
3.750037867778763,48834972.92238238,13117633080.758379,3.7597499999999995,49106594.62544543,13257202619.61235,3.7597499999999995,3501682.2307911715,945341683.6817292,3.750024334894783,34408700.23894695,9242506047.683693,3.7597499999999995,54566807.852630675,14731284739.360348,3.7597499999999995,2449371.9914614493,661251732.670178,3.7536008749705148,28252637.47027898,7603029918.907193,3.7597499999999995,40277687.78384592,10873681469.31624,3.7597499999999995,1370526.3100347847,369998064.9488172,3.750670114979042,31969473.521335892,8590186411.366713,3.7597499999999995,37740766.49404212,10188794239.292149,3.7597499999999995,873091.2974893388,235706595.50965387
5.250037479391288,23499762.123410814,12292313322.497692,5.25965,26884119.58221578,14112856026.365637,5.25965,2919449.729845004,1532569202.703969,5.250024085306118,11521710.389202055,6026774606.566276,5.25965,26003979.4284328,13650825226.533182,5.25965,1618423.2653522973,849593547.7368908,5.253563942919535,10179905.892959537,5331906127.844687,5.25965,20201481.26937204,10604795734.600428,5.25965,1022892.5116020384,536968848.9347697,5.250663242004898,9689484.557855958,5069577315.853661,5.25965,18872026.377876714,9906896537.275301,5.25965,287126.2629708715,150727331.73590243
6.750037091003813,12804206.98794625,11042045886.48038,6.75955,17158611.344723433,14837753996.23395,6.75955,2425735.7729137037,2097633073.8691308,6.750023835717454,5350072.856687912,4613758937.138766,6.75955,14896917.597659452,12881974780.797863,6.75955,1250673.2485742895,1081508381.9543889,6.753527010868555,4640468.818688722,4005854563.4637394,6.75955,12121509.99477505,10481966154.019337,6.75955,802891.9283912437,694293534.5810863,6.750656369030755,3560408.3605353236,3070959851.3652263,6.75955,11398899.234698676,9857095033.761576,6.75955,166679.0413486568,144134193.73940247
8.25003670261634,8598210.271099797,11061539664.126965,8.25945,11942929.283326853,15398455349.411045,8.25945,2300124.0984731987,2965634090.950395,8.25002358612879,2871840.686106233,3694592348.787314,8.25945,9515790.065408202,12269056021.383396,8.25945,987933.2022443037,1273778395.7406058,8.253490078817576,2418383.221027934,3113755511.402398,8.25945,8070170.51009235,10405165877.962425,8.25945,563089.7735781672,726012231.2084935,8.25064949605661,1665110.1619939473,2142461073.2435355,8.25945,7661231.378108331,9877905704.591566,8.25945,114982.16883900338,148250713.94483107
9.750036314228865,6437462.539578665,11558033212.374023,9.75935,8763578.722614618,15763383813.45631,9.75935,2177699.18117016,3917110704.3804827,9.750023336540124,1790785.5990125628,3215227464.8618646,9.75935,6640923.440052718,11945282672.156708,9.75935,839045.0059432979,1509222303.3630598,9.753453146766596,1377292.7546001216,2474506520.979579,9.75935,5717500.176303529,10284285973.263577,9.75935,491786.27960831526,884594767.164337,9.750642623082465,759653.7501926882,1364070855.633865,9.75935,5446286.270213728,9796443160.120602,9.75935,83743.18128088441,150632059.1248806
11.250035925841392,4474898.626950597,10691409136.11779,11.25925,6609401.5909124,15815940293.760159,11.25925,1841344.8459860256,4406238559.384878,11.250023086951462,1117146.1170395555,2669075008.21305,11.25925,4824227.648794685,11544115667.256775,11.25925,713268.5661175612,1706813075.2778137,11.253416214715617,832164.7887536123,1989349232.86504,11.25925,4279613.921245418,10240884492.754591,11.25925,423990.3259346649,1014585902.8046837,11.250635750108321,387152.50139827904,925077623.0083126,11.25925,4067864.9582933076,9734180684.663866,11.25925,69269.66959596847,165758570.33784696
12.750035537453915,2642809.4941385486,8107562104.962401,12.75915,5112392.461324759,15705063074.022364,12.75915,1223378.8624276055,3758170434.527361,12.750022837362796,711829.8420274978,2183734285.9986663,12.75915,3645094.1575600784,11197581971.317856,12.75915,651865.2639702973,2002503752.1796443,12.753379282664635,534776.7165608082,1641397659.435251,12.75915,3306332.9655081904,10156921277.043364,12.75915,375317.66299588885,1152960695.9434621,12.750628877134178,222931.09933736557,683964522.16099,12.75915,3129715.7692610426,9614360386.422756,12.75915,55600.61778375892,170802851.2784151
14.250035149066441,1425718.1910870692,5462197461.522146,14.25905,4031432.2887689,15463684722.94945,14.25905,388256.28097188124,1489265424.9409416,14.250022587774133,464954.6605098384,1781326733.7119384,14.25905,2849488.7615163587,10930010148.609638,14.25905,553074.0696231803,2121470095.1118283,14.253342350613657,368705.4812597326,1413201452.4561274,14.25905,2645378.475674045,10147088129.115547,14.25905,282747.7476567875,1084557971.6344016,14.250622004160034,124428.36825355637,476745900.4077296,14.25905,2475842.739658528,9496786453.872051,14.25905,46275.319456721816,177501914.77258748
15.750034760678966,814862.7628758458,3813086481.784662,15.75895,3259053.094117734,15266725074.584951,15.75895,154305.45178262645,722829251.8851123,15.750022338185468,330409.3198595117,1546122242.0067222,15.75895,2266393.5734964362,10616705711.185411,15.75895,483988.4983282838,2267198210.6015363,15.753305418562677,259073.89306253594,1212789572.906174,15.75895,2140844.234705056,10028581742.882034,15.75895,251734.6649514106,1179227159.1071866,15.75061513118589,68093.65284426094,318661001.6047796,15.75895,1989770.6320962585,9320891781.887402,15.75895,37221.62357618128,174361164.90182006
17.250034372291495,470176.7136703268,2638855602.69329,17.258850000000002,2669689.7388756466,14997881724.127445,17.258850000000002,105562.874357852,593035018.6478115,17.250022088596804,247791.6730594018,1390723010.412166,17.258850000000002,1842584.2397779997,10351337869.90929,17.258850000000002,502955.84893386456,2825523964.4233336,17.2532684865117,180881.15975868196,1015546887.5715811,17.258850000000002,1765086.2448429824,9915966768.553547,17.258850000000002,207077.94861867192,1163330156.247211,17.250608258211745,42298.99601704959,237416866.06036127,17.258850000000002,1626522.3648803139,9137537480.440268,17.258850000000002,31867.96789096296,179029048.30366
